date,open,high,low,close,adjusted_close,volume
2016-10-05,54.68655555555555,54.68655555555555,47.772612460317454,49.2179,49.2179,1200155
2016-10-06,47.19448729407926,48.43665307453922,46.132005871799045,47.8976,47.8976,757433
2016-10-07,47.89751834683955,48.60844220421394,47.63189844408428,48.2022,48.2022,660123
2016-10-10,48.12411683743692,51.1708577993577,48.12411683743692,51.085,51.085,893257
2016-10-11,51.08504009625508,53.717806346819074,50.98347938035796,51.9444,51.9444,756723
2016-10-12,52.26471093057607,53.007197945051686,51.56159822747414,52.8897,52.8897,794514
2016-10-13,53.717813110347926,53.717813110347926,51.71784799163805,52.3194,52.3194,886179
2016-10-14,52.56704172475425,53.31937220732797,52.33892074769139,52.4522,52.4522,656569
2016-10-17,52.45212849695917,54.79583397046047,52.37455184578627,53.9521,53.9521,732355
2016-10-18,54.881769357377976,55.62394275082295,54.1552206669529,54.5849,54.5849,1191701
2016-10-19,54.76459064080944,56.83486403878584,54.58490653456999,55.5927,55.5927,1109643
2016-10-20,55.452086991643455,56.49894239554317,55.18256078690808,56.0927,56.0927,630285
2016-10-21,55.95990074999999,59.88951544736841,55.95990074999999,59.37389999999999,59.3739,1440625
2016-10-24,58.99892471523179,63.00666417218544,58.81142813245033,58.9833,58.9833,564778
2016-10-25,59.3738953488372,61.03792688953487,58.741094622093016,59.1239,59.1239,514740
2016-10-26,59.71767069767441,59.95204146179401,58.780187641196,58.788,58.788,326241
2016-10-27,58.52234068373739,59.20201544538273,56.21769637700898,57.35829999999999,57.3583,560398
2016-10-28,57.21771122351331,59.37392207792207,56.78232850280245,57.14739999999999,57.1474,837254
2016-10-31,56.89742018261107,57.81138821599891,56.27243135731808,57.3271,57.3271,210846
2016-11-01,57.61613249318801,58.18643455040872,57.17082814713897,57.3427,57.3427,526329
2016-11-02,58.04584291397996,59.52237916037865,56.49118305666072,56.9443,56.9443,461406
2016-11-03,56.72554384118968,57.09272474747475,55.41306741021325,55.6865,55.6865,364896
2016-11-04,54.89740411764706,57.16298647058824,52.92869117647059,53.124,53.124,529259
2016-11-07,54.32710235294119,55.99894588235295,52.63182176470589,53.124,53.124,388871
2016-11-08,53.3740447427293,56.01462248322148,53.3740447427293,55.874,55.874,882121
2016-11-09,62.498847955437405,62.76446805924802,57.70206137485759,61.7098,61.7098,2704957
2016-11-10,63.90504931892908,67.18623767026774,62.99881634570222,66.53,66.53,1360263
2016-11-11,66.53005731807995,67.1081719542399,64.67071565043047,66.241,66.241,1082327
2016-11-14,66.27999763816722,67.55341107699574,66.155,66.155,66.155,587463
2016-11-15,65.20977763412277,65.88164068390527,62.600449045432576,64.6551,64.6551,618999
2016-11-16,64.12378319454957,64.65502311380267,61.44414654302296,61.9207,61.9207,371504
2016-11-17,62.45981582150101,62.45981582150101,55.21775837728195,57.7724,57.7724,1437258
2016-11-18,58.272372588413376,60.053590037154265,56.52240456859776,56.7724,56.7724,405585
2016-11-21,58.16303783972126,59.21770675958188,55.39746156097561,56.053700000000006,56.0537,550437
2016-11-22,57.80358702793585,60.647282889291255,56.60829728401448,60.4051,60.4051,666973
