date,open,high,low,close,adjusted_close,volume
2001-02-07,428.4488,429.5762968421053,416.2718341052631,428.4488,428.4488,18330
2001-02-08,426.1937961783439,430.1625849681528,419.4288152866242,424.8408,424.8408,18855
2001-02-09,422.49560915254233,431.7861829661016,422.49560915254233,425.7428,425.7428,19320
2001-02-12,415.3699014313598,417.6248954673607,414.0169050097593,415.9111,415.9111,2370
2001-02-13,414.9188014330691,418.4816911410271,409.3715174573879,415.4149,415.4149,5175
2001-02-14,409.9578262132788,419.1131,409.9578262132788,419.1131,419.1131,2205
2001-02-15,411.58139059083385,412.0323892655992,404.6811108669244,408.3793,408.3793,5640
2001-02-16,417.8051795806345,417.8502794488967,410.5892006586892,410.8147,410.8147,6165
2001-02-20,409.8156271195772,416.0857836599868,409.22920960140937,409.6803,409.6803,1545
2001-02-21,408.23685222222224,415.0032088888889,405.9814,405.9814,405.9814,5955
2001-02-22,412.6574796302637,412.7025886682643,392.4486306059569,395.2905,395.2905,39405
2001-02-23,392.4486766759777,401.0193949022346,380.9909796787709,387.5769,387.5769,15075
2001-02-26,386.13334076965975,406.2068614054657,386.13334076965975,404.4025,404.4025,13755
2001-02-27,403.86548557745846,408.3779491034636,400.48113793295465,405.1741,405.1741,5730
2001-02-28,400.50277587388615,402.7591295407813,392.3799026730637,395.0424,395.0424,4380
2001-03-01,398.6977370497426,402.533538707833,394.6363,394.6363,394.6363,1995
2001-03-02,400.50286458333335,411.559,400.50286458333335,411.559,411.559,6705
2001-03-05,410.8368727116089,421.9381326728408,410.8368727116089,419.05,419.05,10560
2001-03-06,416.4326944356121,426.450906200318,415.80091531531536,425.774,425.774,1950
2001-03-07,430.06102259654887,439.9889790468365,427.5339064092029,439.3572,439.3572,25410
2001-03-08,441.7037579508197,444.2760009221312,432.9491064344263,440.4402,440.4402,22590
2001-03-09,446.08116519296783,446.08116519296783,431.86613564964114,433.8066,433.8066,41505
2001-03-12,428.7072620320855,432.1820472085561,421.0807854759358,421.9382,421.9382,14490
2001-03-13,416.07169140969165,418.7793162995594,405.2411918502203,409.7539,409.7539,95775
2001-03-14,405.4216810478004,416.83883212806455,398.1562212694504,403.1202,403.1202,21165
2001-03-15,403.88734389507897,403.88734389507897,388.0928667595172,388.8149,388.8149,25545
2001-03-16,390.3492050406312,397.1182663997173,383.1288729242728,383.174,383.174,96855
2001-03-19,386.7390573480789,399.96129116406337,386.7390573480789,395.8096,395.8096,46560
2001-03-20,401.6310374802439,410.5210728042448,399.7357,399.7357,399.7357,35370
2001-03-21,399.3746150289017,399.3746150289017,388.7697523699422,390.3492,390.3492,5730
2001-03-22,381.3238061647896,381.3238061647896,366.8380142382929,380.6469,380.6469,25320
2001-03-23,377.9392842565597,394.86193877551017,375.9085657142857,386.9647,386.9647,24525
2001-03-26,399.3746475419185,399.3746475419185,389.44669020189343,395.6291,395.6291,16575
2001-03-27,393.0567838089692,393.5080545136867,383.580099009901,387.4159,387.4159,22065
2001-03-28,381.69780724375227,384.0444951104672,372.7623419051069,373.8003,373.8003,17100
2001-03-29,366.444336443884,366.444336443884,355.6585979697352,357.8699,357.8699,36195
2001-03-30,365.722258584356,368.70074686996406,362.834027519524,364.0525,364.0525,16545
2001-04-02,360.1263120437956,360.1263120437956,343.7446264207508,346.2267,346.2267,40830
2001-04-03,348.3928865306122,350.8749602040816,330.792727755102,331.6953,331.6953,31905
2001-04-04,338.0132237908497,350.19794614379083,338.0132237908497,345.2338,345.2338,30885
2001-04-05,345.6850629388164,363.2852162738215,344.6922337763289,359.9457,359.9457,32220
2001-04-06,353.6729654246644,364.5489619370217,347.7159880817965,359.7202,359.7202,3660
2001-04-09,368.02381309552896,373.43924627412656,364.6391673589055,369.4228,369.4228,15390
2001-04-10,372.49149591885447,380.29874437947495,366.8504204415276,378.1777,378.1777,27390
2001-04-11,380.208535822708,382.69060935033394,371.6341,371.6341,371.6341,36630
2001-04-12,375.69565645973154,380.9757035234899,374.4320554530201,376.5531,376.5531,8400
2001-04-16,377.7264255319149,384.0444302600473,377.7264255319149,381.788,381.788,12885
2001-04-17,382.23926763678696,388.1059860302677,378.3582077764843,387.6547,387.6547,11085
2001-04-18,384.7213190789474,390.8588087440192,375.921241985646,377.2751,377.2751,31965
2001-04-19,377.6361807725534,377.6361807725534,364.6391420461557,365.6771,365.6771,26115
2001-04-20,368.92642319277104,377.0495737951807,368.92642319277104,374.5675,374.5675,19440
